,y,k,r,c,d,o,s,b,v,e,g,u,h,q,l,j,t,w,p,m,i,z,n,x,f,a
y,4.2,3.2,14.2,3.2,3.2,12.2,9.2,16.2,0.2,17.2,2.2,2.2,4.2,2.2,6.2,0.2,12.2,4.2,5.2,5.2,1.2,4.2,6.2,4.2,1.2,14.2
k,2.2,234.2,10.2,19.2,4.2,60.2,11.2,2.2,2.2,9.2,0.2,9.2,3.2,2.2,5.2,4.2,8.2,3.2,6.2,3.2,16.2,1.2,7.2,2.2,4.2,30.2
r,7.2,9.2,210.2,95.2,44.2,987.2,61.2,109.2,16.2,1207.2,79.2,132.2,4.2,3.2,26.2,13.2,241.2,4.2,276.2,24.2,440.2,1.2,12.2,0.2,60.2,1443.2
c,7.2,7.2,191.2,15.2,9.2,340.2,253.2,6.2,15.2,369.2,5.2,110.2,10.2,7.2,30.2,10.2,137.2,0.2,20.2,90.2,242.2,8.2,153.2,8.2,12.2,448.2
d,7.2,6.2,280.2,6.2,19.2,544.2,271.2,5.2,7.2,338.2,4.2,259.2,9.2,13.2,55.2,8.2,17.2,3.2,8.2,134.2,271.2,13.2,486.2,27.2,25.2,846.2
o,7.2,9.2,569.2,920.2,896.2,382.2,632.2,184.2,324.2,163.2,362.2,34.2,476.2,4.2,244.2,117.2,935.2,8.2,514.2,563.2,251.2,29.2,680.2,25.2,185.2,360.2
s,8.2,15.2,158.2,22.2,43.2,1009.2,601.2,22.2,8.2,1648.2,7.2,189.2,14.2,11.2,33.2,18.2,55.2,3.2,31.2,133.2,585.2,9.2,238.2,2.2,11.2,1437.2
b,3.2,5.2,55.2,5.2,10.2,149.2,68.2,18.2,3.2,133.2,3.2,60.2,6.2,2.2,12.2,2.2,19.2,1.2,2.2,105.2,28.2,2.2,5.2,2.2,8.2,301.2
v,2.2,7.2,64.2,5.2,11.2,164.2,99.2,10.2,8.2,220.2,6.2,59.2,10.2,9.2,31.2,7.2,17.2,1.2,5.2,58.2,139.2,3.2,26.2,2.2,4.2,324.2
e,13.2,25.2,768.2,275.2,1179.2,253.2,876.2,358.2,421.2,384.2,97.2,1065.2,193.2,36.2,324.2,116.2,1046.2,23.2,425.2,1123.2,89.2,185.2,184.2,34.2,133.2,268.2
g,3.2,1.2,68.2,2.2,4.2,142.2,38.2,3.2,1.2,167.2,13.2,57.2,2.2,4.2,70.2,3.2,87.2,0.2,4.2,44.2,213.2,1.2,115.2,2.2,6.2,237.2
u,5.2,2.2,118.2,98.2,36.2,646.2,135.2,55.2,3.2,511.2,235.2,20.2,36.2,1138.2,50.2,59.2,273.2,6.2,37.2,179.2,27.2,8.2,68.2,1.2,46.2,135.2
h,2.2,4.2,26.2,187.2,6.2,94.2,69.2,2.2,2.2,72.2,9.2,11.2,40.2,1.2,214.2,5.2,30.2,4.2,9.2,20.2,5.2,2.2,542.2,1.2,5.2,407.2
q,5.2,2.2,127.2,3.2,1.2,280.2,167.2,1.2,5.2,147.2,3.2,38.2,11.2,5.2,23.2,5.2,5.2,2.2,30.2,68.2,44.2,19.2,13.2,2.2,2.2,228.2
l,7.2,4.2,76.2,29.2,7.2,326.2,63.2,30.2,6.2,571.2,15.2,121.2,8.2,4.2,67.2,5.2,72.2,6.2,40.2,21.2,152.2,5.2,12.2,1.2,10.2,594.2
j,3.2,5.2,19.2,1.2,4.2,138.2,30.2,4.2,0.2,108.2,2.2,22.2,16.2,4.2,9.2,5.2,7.2,2.2,7.2,9.2,28.2,5.2,16.2,3.2,4.2,83.2
t,3.2,6.2,341.2,25.2,7.2,330.2,923.2,1.2,4.2,353.2,100.2,179.2,130.2,14.2,174.2,19.2,172.2,8.2,136.2,87.2,360.2,5.2,649.2,10.2,9.2,493.2
w,0.2,1.2,4.2,2.2,1.2,28.2,4.2,1.2,4.2,13.2,4.2,3.2,2.2,1.2,5.2,2.2,36.2,13.2,1.2,1.2,0.2,0.2,1.2,2.2,1.2,24.2
p,4.2,3.2,104.2,18.2,14.2,293.2,332.2,2.2,4.2,277.2,4.2,126.2,17.2,9.2,56.2,9.2,141.2,3.2,21.2,204.2,82.2,10.2,14.2,12.2,5.2,438.2
m,15.2,6.2,236.2,23.2,26.2,906.2,300.2,28.2,12.2,997.2,11.2,486.2,19.2,8.2,82.2,6.2,40.2,2.2,11.2,130.2,305.2,23.2,6.2,1.2,5.2,948.2
i,2.2,29.2,473.2,156.2,438.2,232.2,271.2,66.2,230.2,529.2,46.2,271.2,47.2,6.2,230.2,10.2,332.2,23.2,108.2,434.2,56.2,41.2,153.2,28.2,237.2,441.2
z,3.2,2.2,6.2,2.2,3.2,23.2,2.2,4.2,3.2,72.2,3.2,12.2,1.2,0.2,4.2,1.2,4.2,2.2,1.2,6.2,134.2,4.2,7.2,1.2,0.2,151.2
n,5.2,4.2,122.2,5.2,12.2,589.2,129.2,8.2,3.2,960.2,7.2,229.2,17.2,9.2,22.2,26.2,22.2,6.2,11.2,57.2,721.2,11.2,34.2,2.2,4.2,933.2
x,1.2,1.2,10.2,2.2,2.2,13.2,4.2,0.2,0.2,60.2,3.2,10.2,5.2,0.2,8.2,2.2,0.2,1.2,2.2,4.2,79.2,1.2,0.2,7.2,0.2,21.2
f,4.2,0.2,64.2,4.2,9.2,189.2,97.2,3.2,2.2,178.2,2.2,53.2,6.2,6.2,16.2,6.2,11.2,3.2,4.2,51.2,46.2,0.2,49.2,0.2,12.2,233.2
a,14.2,23.2,1248.2,667.2,916.2,505.2,701.2,135.2,302.2,427.2,296.2,346.2,673.2,16.2,419.2,129.2,895.2,17.2,569.2,1102.2,556.2,44.2,556.2,52.2,316.2,563.2
